NOTA_EE_DOS,VECES_EE_DOS,CREDITOS_EE_DOS,NOTA_ONDAS,VECES_ONDAS,CREDITO_ONDAS,NOTA_FOU,VECES_FOU,CREDITOS_FOU,NOTA_TFM,VECES_TFM,CREDITOS_TFM,NOTA_EL_TRES,VECES_EL_TRES,CREDITOS_EL_TRES,NOTA_ADMICRO,VECES_ADMICRO,CREDITOS_ADMICRO
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
38,1,2,40,1,2,40,1,2,45,1,3,30,1,3,36,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
47,1,2,28,1,2,31,1,2,24.5,2,3,36,1,3,0,0,3
49,1,2,36,1,2,30,1,2,40,1,3,40,1,3,34,1,3
0,1,2,25.5,2,2,34,1,2,32,1,3,33,1,3,25,2,3
46,1,2,38,1,2,37,1,2,46,1,3,40,1,3,42,1,3
40,1,2,30,1,2,34,1,2,34,1,3,35,1,3,40,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,32,1,2,40,1,2,30,1,3,37,1,3,24,2,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
49,1,2,24.5,2,2,34,1,2,46,1,3,33,2,3,32,1,3
0,1,2,23.33333333,3,2,24,3,2,25.66666667,3,3,32,1,3,23.5,2,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,29.5,2,2,37,1,2,30,1,3,38,1,3,36,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
8,1,2,0,0,2,0,0,2,9,1,3,0,0,3,0,0,3
0,1,2,29.5,2,2,40,1,2,30,1,3,37,1,3,26.5,2,3
42,1,2,36,1,2,33,1,2,50,1,3,35,1,3,39,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,30,1,2,26,2,2,43,1,3,35,1,3,37,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,32,1,2,40,1,2,23,2,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,20,2,2,30,1,3,0,0,3,31,1,3
0,1,2,18,1,2,0,0,2,25,1,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
43,1,2,33,1,2,31,1,2,33.5,2,3,36,1,3,29,2,3
0,1,2,0,0,2,0,0,2,5,2,3,0,0,3,0,0,3
38,1,2,31.5,2,2,30,1,2,34,1,3,33,1,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
50,1,2,35,1,2,33,1,2,24,3,3,26,2,3,40,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,30.5,2,2,43,1,2,26.66666667,3,3,35,1,3,37,1,3
37,1,2,30,2,2,24,2,2,39,1,3,37,1,3,32,2,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
45,1,2,29.5,2,2,30,1,2,37.5,2,3,35,1,3,34,2,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,36,1,2,47,1,3,0,0,3,41,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
50,1,2,29.5,2,2,33,1,2,31,1,3,36,1,3,30,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,30,1,2,20,2,2,30,1,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,26,3,2,26,3,2,26.5,2,3,35,1,3,29,1,3
44,1,2,30,1,2,35,1,2,34,1,3,38,1,3,35,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
50,1,2,37,1,2,38,1,2,45,1,3,36,1,3,34,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,41,1,2,50,1,3,39,1,3,0,0,3
49,1,2,38,1,2,32,1,2,46,1,3,39,1,3,36,1,3
0,1,2,0,0,2,0,0,2,17.33333333,3,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
50,1,2,28.5,2,2,32,1,2,50,1,3,33,1,3,36,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,31,1,2,33,1,2,21.66666667,3,3,37,1,3,32,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
48,1,2,35,1,2,31,1,2,33,1,3,43,1,3,27.5,2,3
48,1,2,36,1,2,40,1,2,34,1,3,38,1,3,40,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,29.66666667,3,2,40,1,2,36,2,3,35,1,3,32,1,3
10,1,2,34,1,2,34,1,2,31,1,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
50,1,2,35,1,2,25,2,2,29.5,2,3,30,1,3,34,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
40,1,2,30,1,2,32,1,2,31,1,3,35,1,3,27.5,2,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
46,1,2,23,2,2,29,2,2,30,1,3,40,1,3,42,1,3
48,1,2,36,1,2,41,1,2,35,1,3,40,1,3,42,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
45,1,2,35,1,2,40,1,2,32,1,3,37,1,3,23,2,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
49,1,2,29,2,2,32,1,2,35,1,3,34,1,3,32,1,3
37,1,2,34,1,2,33,1,2,28,2,3,33,1,3,34,1,3
0,1,2,39,1,2,30,1,2,33,1,3,35,1,3,26,2,3
46,1,2,39,1,2,40,1,2,38,1,3,39,1,3,25.5,2,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,27,1,2,0,0,2,23,2,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
45,1,2,31.5,2,2,41,1,2,31,1,3,37,1,3,33,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
43,1,2,31,2,2,41,1,2,33,1,3,30,1,3,21.5,2,3
41,1,2,32,2,2,33,1,2,29,2,3,34,1,3,36,1,3
0,1,2,31,1,2,25,2,2,21,4,3,33,1,3,19.5,2,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
36,1,2,34,2,2,31,1,2,30,1,3,39,1,3,41,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
36,1,2,40,1,2,38,1,2,29.5,2,3,38,1,3,41,1,3
50,1,2,38,1,2,36,1,2,42,1,3,36,1,3,42,1,3
50,1,2,0,0,2,0,0,2,28.33333333,3,3,40,1,3,40,1,3
0,1,2,0,0,2,0,0,2,41,1,3,0,0,3,0,0,3
49,1,2,40,1,2,40,1,2,32,1,3,38,1,3,44,1,3
34,1,2,31,1,2,41,1,2,25,2,3,43,1,3,38,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,37,1,2,36,1,2,34,1,3,39,1,3,35,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,31,1,3,37,1,3,31,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
50,1,2,34,1,2,31,1,2,33.5,2,3,41,1,3,33,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,27.33333333,3,2,20.5,2,2,27.5,2,3,34,1,3,35,1,3
0,1,2,29.5,2,2,30.66666667,3,2,28,2,3,32,1,3,31,1,3
50,1,2,35,1,2,41,1,2,32,1,3,40,1,3,41,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
46,1,2,30,1,2,31,1,2,30,1,3,40,1,3,42,1,3
47,1,2,32,1,2,30,1,2,32,2,3,35,1,3,38,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,3,2,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
50,1,2,35,1,2,30,1,2,30,1,3,34,1,3,33,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
46,1,2,0,0,2,41,1,2,31.5,2,3,40,1,3,27,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,42,1,2,34,1,2,37,1,3,37,1,3,39,1,3
0,1,2,35,1,2,25,1,2,22,2,3,34.5,2,3,41,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,35,1,3,34,1,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,29,2,2,22,2,2,23,2,3,42,1,3,34,1,3
0,1,2,33,1,2,36,1,2,32,1,3,35,1,3,33,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,28.5,2,2,35,1,2,36,1,3,32,1,3,35,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,33,1,2,0,0,2,31,1,3,33,1,3,34,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,27.5,2,3,27.5,2,3,30,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,40,1,2,5,1,2,30,1,3,39,1,3,30,1,3
0,1,2,23,3,2,33,1,2,28,2,3,34,1,3,31,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
35,1,2,35,1,2,39,1,2,32,1,3,43,1,3,35,2,3
0,1,2,40,1,2,30,1,2,40,1,3,37,1,3,45,1,3
0,1,2,28,1,2,0,0,2,31,1,3,33,1,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
41,1,2,37,1,2,34,1,2,30,1,3,38,1,3,43,1,3
0,1,2,31,1,2,31,1,2,37,1,3,38,1,3,37,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
48,1,2,29.5,2,2,35,1,2,32,1,3,33,1,3,37,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,32,2,2,32,1,2,33,1,3,35,1,3,37,1,3
48,1,2,21.5,2,2,30,1,2,30,2,3,0,0,3,0,0,3
50,1,2,36,1,2,35,1,2,29,2,3,30,1,3,33,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,33.5,2,2,33,1,2,31,1,3,41,1,3,34,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
46,1,2,30,1,2,32,1,2,34.5,2,3,38,1,3,33,1,3
0,1,2,39,1,2,30,2,2,31,1,3,38,1,3,40,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,41,1,2,30,2,2,31,1,3,31,1,3,33,1,3
0,1,2,0,0,2,0,0,2,30,1,3,0,0,3,0,0,3
50,1,2,37,1,2,32,1,2,26.5,2,3,31,1,3,33,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,7.5,2,2,20.66666667,3,3,0,0,3,36,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
47,1,2,0,0,2,38,1,2,33,1,3,36,1,3,34,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
45,1,2,40,1,2,32,1,2,32,1,3,39,1,3,44,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,17.33333333,3,3,0,0,3,0,0,3
0,1,2,31,1,2,30,1,2,44,1,3,36,1,3,38,1,3
48,1,2,40,1,2,33,1,2,30,1,3,38,1,3,42,1,3
44,1,2,40,1,2,30.5,2,2,31,1,3,32,1,3,46,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
45,1,2,44,1,2,33,1,2,30,1,3,40,1,3,40,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,34,1,3,28,1,3,0,0,3
48,1,2,40,1,2,36,1,2,40,1,3,42,1,3,36,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,31,2,2,25,2,3,35,1,3,35,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
42,1,2,42,1,2,43,1,2,34,1,3,40,1,3,41,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
50,1,2,1,1,2,26,1,2,0,0,3,29,1,3,0,0,3
0,1,2,0,0,2,0,0,2,31,1,3,25,1,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,36,1,2,34,1,2,32,1,3,40,1,3,33,1,3
0,1,2,28,2,2,34,1,2,29,2,3,37,1,3,35,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
50,1,2,33,1,2,34,2,2,38,1,3,37,1,3,30,2,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
36,1,2,24,1,2,35,1,2,31,1,3,20.5,2,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,36,1,2,34,1,2,28.5,2,3,34,1,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,18.5,2,2,20,2,3,0,0,3,41,1,3
0,1,2,24,3,2,21.33333333,3,2,28,3,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,30,1,2,25.5,2,3,33,1,3,32,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,36,1,2,26,1,3,34,1,3,36,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
50,1,2,36,1,2,0,0,2,50,1,3,39,1,3,34,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
50,1,2,37,1,2,30,1,2,35,1,3,35,1,3,32,1,3
0,1,2,0,0,2,0,0,2,35,1,3,35,1,3,37,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,37,1,2,0,0,2,50,1,3,34,1,3,38,1,3
48,1,2,32,1,2,40,1,2,40,1,3,38,1,3,42,1,3
0,1,2,30,1,2,43,1,2,40,1,3,42,1,3,41,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
50,1,2,37,1,2,29,1,2,30,1,3,33,1,3,39,1,3
0,1,2,0,0,2,38,1,2,35,1,3,35,1,3,50,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,34,1,2,30,1,2,0,0,3,36,1,3,43,1,3
48,1,2,43,1,2,35,2,2,37,1,3,39,1,3,34,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,34,1,3,33,1,3
0,1,2,34,2,2,31,1,2,30,2,3,40,1,3,29.5,2,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,36,1,2,41,1,2,29.5,2,3,35,1,3,32,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,30,1,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
36,1,2,29,1,2,33,1,2,31,1,3,34,1,3,26,2,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,33,1,2,0,0,3,0,0,3,0,0,3
38,1,2,32,1,2,30,1,2,25,2,3,34,1,3,35,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
36,1,2,32,1,2,41,1,2,40,1,3,31,1,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,31,1,2,27.5,2,2,31,1,3,36,1,3,37,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
39,1,2,0,0,2,29,1,2,0,0,3,0,0,3,0,0,3
50,1,2,30,1,2,31,2,2,37,1,3,32,1,3,37,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,16,1,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,32,1,2,35,1,3,37,1,3,36,1,3
46,1,2,28,2,2,0,0,2,30,1,3,38,1,3,39,1,3
0,1,2,30,1,2,40,1,2,33,1,3,34,1,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
44,1,2,32,1,2,40,1,2,21.33333333,3,3,36,1,3,37,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,26,3,3,38,1,3,0,0,3
0,1,2,0,0,2,30,1,2,34,1,3,30,1,3,35,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
48,1,2,33,1,2,40,1,2,35,1,3,31,1,3,0,0,3
0,1,2,0,0,2,32,1,2,19.5,2,3,25,1,3,33,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,19.5,2,3,0,0,3,3,1,3
0,1,2,0,0,2,0,0,2,36,1,3,0,0,3,0,0,3
0,1,2,28.5,2,2,33.5,2,2,28.5,2,3,34,1,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,31,1,3,0,0,3,0,0,3
0,1,2,0,0,2,38,1,2,30,1,3,35,1,3,29,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,30,1,2,37,1,2,33,1,3,40,1,3,35,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
36,1,2,0,0,2,35,1,2,18,2,3,32,1,3,33,1,3
0,1,2,30,1,2,34,1,2,0,0,3,32,1,3,37,1,3
0,1,2,36,1,2,43,1,2,30,1,3,37,1,3,33,1,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,30,1,2,35,1,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
